City,State,Technology,Vendor
Woodstock,VA,Body-worn Cameras,VML Insurance Programs
Rockford,IL,Gunshot Detection,ShotSpotter
Atlanta,GA,Gunshot Detection,ShotSpotter
Peoria,IL,Gunshot Detection,ShotSpotter
Goldsboro,NC,Gunshot Detection,ShotSpotter
Rochester,NY,Gunshot Detection,ShotSpotter
Pittsburgh,PA,Gunshot Detection,ShotSpotter
Newburgh,NY,Body-worn Cameras,WatchGuard
Williamston,NC,Body-worn Cameras,Coban
Deming,NM,Body-worn Cameras,Axon
Vail,CO,Body-worn Cameras,Coban
Abilene,TX,Body-worn Cameras,Coban
Edgewood,NM,Body-worn Cameras,Coban
Madison,AL,Body-worn Cameras,Coban
Greenville,NC,Body-worn Cameras,Coban
Lubbock,TX,Body-worn Cameras,Coban
Canton,OH,Gunshot Detection,Wi-fiber
Oregon,OH,Body-worn Cameras,Coban
East Chicago,IN,Gunshot Detection,ShotSpotter
Bowling Green,KY,Body-worn Cameras,Coban
Doral,FL,Gunshot Detection,ShotSpotter
Miami,FL,Gunshot Detection,ShotSpotter
Harker Heights,TX,Body-worn Cameras,Coban
Calumet City,IL,Gunshot Detection,ShotSpotter
Goldsboro,NC,Automated License Plate Readers,ELSAG
Poughkeepsie,NY,Automated License Plate Readers,ELSAG
Poughkeepsie,NY,Body-worn Cameras,Axon
Pueblo,CO,Automated License Plate Readers,ELSAG
Newburgh,NY,Gunshot Detection,ShotSpotter
Rockwall,TX,Body-worn Cameras,Getac
Tallahassee,FL,Body-worn Cameras,Coban
Georgetown,SC,Body-worn Cameras,Coban
Paterson,NJ,Gunshot Detection,ShotSpotter
Harrisonville,MO,Automated License Plate Readers,ELSAG
Seguin,TX,Automated License Plate Readers,Vigilant Solutions
Seguin,TX,Automated License Plate Readers,Vigilant Solutions
Conroe,TX,Body-worn Cameras,Axon
New Caney,TX,Body-worn Cameras,Axon
Kingsville,TX,Body-worn Cameras,Coban
Pelham,NY,Automated License Plate Readers,ELSAG
Buffalo,NY,Body-worn Cameras,Axon
Saginaw,MI,Gunshot Detection,ShotSpotter
Westminster,CO,Automated License Plate Readers,ELSAG
Bryan,TX,Body-worn Cameras,Panasonic
Bakersfield,CA,Gunshot Detection,ShotSpotter
Anahuac,TX,Body-worn Cameras,Coban
Elko,NV,Body-worn Cameras,Axon
Grand Prairie,TX,Automated License Plate Readers,Vigilant Solutions
Gloucester,VA,Body-worn Cameras,Axon
Frederick,CO,Body-worn Cameras,Axon
Reno,NV,Body-worn Cameras,Axon
Minden,NV,Body-worn Cameras,Axon
Waxahachie,TX,Body-worn Cameras,Axon
Port Orange,FL,Body-worn Cameras,Axon
Charlotte,NC,Body-worn Cameras,Axon
Columbia,MO,Body-worn Cameras,Axon
Cape May Court House,NJ,Body-worn Cameras,Axon
Ocala,FL,Predictive Policing,Geolitica
Rocky Mount,NC,Body-worn Cameras,Axon
Rio Dell,CA,Body-worn Cameras,Axon
Orlando,FL,Body-worn Cameras,Axon
Decatur,GA,Body-worn Cameras,Utility
Brea,CA,Predictive Policing,Geolitica
Atlanta,GA,Predictive Policing,Geolitica
Norcross,GA,Predictive Policing,Geolitica
Woodbridge,VA,Body-worn Cameras,Axon
West Palm Beach,FL,Gunshot Detection,ShotSpotter
Manlius,NY,Body-worn Cameras,Axon
Detroit,MI,Face Recognition,DataWorks Plus
Rigby,ID,Body-worn Cameras,Axon
Eureka,CA,Body-worn Cameras,Axon
Tracy,CA,Predictive Policing,Geolitica
Haverhill,MA,Predictive Policing,Geolitica
Los Angeles,CA,Face Recognition,DataWorks Plus
Brockport,NY,Body-worn Cameras,Axon
Mansfield,TX,Body-worn Cameras,Axon
Bay,MI,Body-worn Cameras,Axon
Carson City,NV,Body-worn Cameras,Axon
Longmont,CO,Automated License Plate Readers,Vigilant Solutions
Boulder,CO,Automated License Plate Readers,Vigilant Solutions
Erie,CO,Automated License Plate Readers,Vigilant Solutions
Commerce City,CO,Automated License Plate Readers,Vigilant Solutions
Thornton,CO,Automated License Plate Readers,Vigilant Solutions
Brighton,CO,Automated License Plate Readers,Vigilant Solutions
Lafayette,CO,Automated License Plate Readers,Vigilant Solutions
Golden,CO,Automated License Plate Readers,Vigilant Solutions
Greenwood Village,CO,Automated License Plate Readers,Vigilant Solutions
San Pablo,CA,Gunshot Detection,ShotSpotter
Stockton,CA,Gunshot Detection,ShotSpotter
Oxnard,CA,Body-worn Cameras,Axon
Auburn,CA,Face Recognition,DataWorks Plus
San Jose,CA,Body-worn Cameras,Axon
Los Angeles,CA,Body-worn Cameras,Axon
Gainesville,FL,Body-worn Cameras,Axon
Morgan HIll,CA,Predictive Policing,Geolitica
Suisun City,CA,Body-worn Cameras,Axon
Monterey,CA,Predictive Policing,Geolitica
Watsonville,CA,Body-worn Cameras,Axon
Modesto,CA,Body-worn Cameras,Axon
Fresno,CA,Predictive Policing,Geolitica
Modesto,CA,Predictive Policing,Geolitica
Riverside,CA,Face Recognition,DataWorks Plus
Miami,FL,Face Recognition,DataWorks Plus
Miami,FL,Face Recognition,DataWorks Plus
Miami,FL,Face Recognition,DataWorks Plus
North Chesterfield,VA,Face Recognition,DataWorks Plus
Henrico,VA,Body-worn Cameras,Axon
San Francisco,CA,Body-worn Cameras,Axon
Evanston,IL,Body-worn Cameras,Axon
Cleveland,OH,Automated License Plate Readers,Selex
Cleveland,OH,Automated License Plate Readers,"Flock Safety, Selex"
Cleveland Heights,OH,Automated License Plate Readers,Selex
Euclid,OH,Automated License Plate Readers,Flock Safety
Fairview Park,OH,Automated License Plate Readers,Selex
Garfield Heights,OH,Automated License Plate Readers,Selex
Independence,OH,Automated License Plate Readers,Selex
Lakewood,OH,Automated License Plate Readers,Selex
Lyndhurst,OH,Automated License Plate Readers,Selex
Maple Heights,OH,Automated License Plate Readers,Selex
Mayfield Heights,OH,Automated License Plate Readers,Selex
North Olmsted,OH,Automated License Plate Readers,Selex
Olmsted Township,OH,Automated License Plate Readers,Selex
Orange Village,OH,Automated License Plate Readers,Selex
Parma,OH,Automated License Plate Readers,Selex
Shaker Heights,OH,Automated License Plate Readers,Selex
Solon,OH,Automated License Plate Readers,Selex
South Euclid,OH,Automated License Plate Readers,Selex
Strongsville,OH,Automated License Plate Readers,Selex
University Circle,OH,Automated License Plate Readers,Selex
Woodmere,OH,Automated License Plate Readers,Selex
Alhambra,CA,Predictive Policing,Geolitica
Campbell,CA,Body-worn Cameras,Axon
Edgewater,FL,Body-worn Cameras,Axon
Clayton,CA,Body-worn Cameras,Axon
Thomasville,GA,Body-worn Cameras,Motorola Solutions
Raritan,NJ,Body-worn Cameras,Axon
Berkeley Heights,NJ,Body-worn Cameras,Axon
West Palm Beach,FL,Gunshot Detection,ShotSpotter
Modesto,CA,Drones,Axon
San Mateo,CA,Body-worn Cameras,Axon
Broomfield,CO,Body-worn Cameras,Axon
Las Vegas,NV,Gunshot Detection,ShotSpotter
Fort Myers,FL,Gunshot Detection,ShotSpotter
Hartford,CT,Gunshot Detection,ShotSpotter
Glassboro,NJ,Body-worn Cameras,Axon
Cherry Hill,NJ,Body-worn Cameras,Axon
Hagerstown,MD,Predictive Policing,Geolitica
Raleigh,NC,Face Recognition,DataWorks Plus
Atlanta,GA,Body-worn Cameras,Axon
Salinas,CA,Body-worn Cameras,Axon
Santa Monica,CA,Body-worn Cameras,Axon
Dalton,GA,Body-worn Cameras,Axon
Harrisonburg,VA,Body-worn Cameras,Axon
Concord,NC,Body-worn Cameras,Axon
Dallas,TX,Body-worn Cameras,Axon
Denton,TX,Body-worn Cameras,Axon
Michigan City,IN,Body-worn Cameras,Axon
Lindenwold,NJ,Body-worn Cameras,Axon
San Marcos,TX,Body-worn Cameras,Axon
Vestal,NY,Body-worn Cameras,Axon
Columbus,OH,Body-worn Cameras,Axon
Steamboat Springs,CO,Body-worn Cameras,Axon
Racine,WI,Body-worn Cameras,Axon
Longview,TX,Body-worn Cameras,WatchGuard
Medford,NJ,Body-worn Cameras,Axon
Spokane,WA,Body-worn Cameras,Axon
Ypsilanti,MI,Body-worn Cameras,L-3
Lumberton,NJ,Body-worn Cameras,Axon
Lewiston,NY,Body-worn Cameras,Axon
Goddard,KS,Body-worn Cameras,WatchGuard
Elkhorn,WI,Body-worn Cameras,Axon
Friendswood,TX,Body-worn Cameras,L-3
Union,NJ,Body-worn Cameras,Axon
Towson,MD,Body-worn Cameras,Axon
Phoenix,AZ,Automated License Plate Readers,Vigilant Solutions
Chandler,AZ,Automated License Plate Readers,"PIPS, Vigilant Solutions"
Tempe,AZ,Automated License Plate Readers,Vigilant Solutions
Phoenix,AZ,Automated License Plate Readers,Vigilant Solutions
Glendale,AZ,Automated License Plate Readers,Vigilant Solutions
Mesa,AZ,Automated License Plate Readers,Vigilant Solutions
Paradise Valley,AZ,Automated License Plate Readers,Vigilant Solutions
Scottsdale,AZ,Automated License Plate Readers,Vigilant Solutions
Alameda,CA,Body-worn Cameras,Axon
Albany,CA,Body-worn Cameras,Axon
Berkeley,CA,Body-worn Cameras,Axon
Emeryville,CA,Body-worn Cameras,Axon
Fremont,CA,Body-worn Cameras,WatchGuard
Hayward,CA,Body-worn Cameras,Axon
Livermore,CA,Body-worn Cameras,Axon
Newark,CA,Body-worn Cameras,VieVu
Oakland,CA,Body-worn Cameras,Axon
Piedmont,CA,Body-worn Cameras,Axon
Pleasanton,CA,Body-worn Cameras,Axon
San Leandro,CA,Body-worn Cameras,Axon
Union City,CA,Body-worn Cameras,CopVu/Vievu
Brentwood,CA,Body-worn Cameras,Axon
Concord,CA,Body-worn Cameras,Axon
Danville,CA,Body-worn Cameras,Axon
Castro Valley,CA,Body-worn Cameras,Axon
El Cerrito,CA,Body-worn Cameras,Axon
Hercules,CA,Body-worn Cameras,Axon
Kensington,CA,Body-worn Cameras,Axon
Moraga,CA,Body-worn Cameras,VieVu
Pinole,CA,Body-worn Cameras,Axon
Pittsburg,CA,Body-worn Cameras,Axon
San Pablo,CA,Body-worn Cameras,Axon
San Ramon,CA,Body-worn Cameras,Reveal D3
Walnut Creek,CA,Body-worn Cameras,VieVu
San Francisco,CA,Body-worn Cameras,Axon
Benicia,CA,Body-worn Cameras,CopVu/VieVu
Fairfield,CA,Body-worn Cameras,CopVu/VieVu
Vacaville,CA,Body-worn Cameras,CopVu/VieVu
Vallejo,CA,Body-worn Cameras,Axon
Cloverdale,CA,Body-worn Cameras,Axon
Cotati,CA,Body-worn Cameras,Axon
Healdsburg,CA,Body-worn Cameras,Axon
Rohnert Park,CA,Body-worn Cameras,Axon
Sebastopol,CA,Body-worn Cameras,Axon
Sonoma,CA,Body-worn Cameras,Axon
Sonoma,CA,Body-worn Cameras,Axon
Oakland,CA,Body-worn Cameras,Axon
San Francisco,CA,Body-worn Cameras,Axon
Fairfield,CA,Body-worn Cameras,Axon
Sonoma,CA,Body-worn Cameras,Axon
Oakland,CA,Body-worn Cameras,Axon
Berkeley,CA,Body-worn Cameras,Axon
Evesham,NJ,Body-worn Cameras,Axon
Gresham,OR,Body-worn Cameras,Motorola Solutions
Lincoln City,OR,Body-worn Cameras,Axon
Andalusia,AL,Body-worn Cameras,WatchGuard
Fort Smith,AR,Body-worn Cameras,Axon
Little Rock,AR,Body-worn Cameras,Axon
Peoria,AZ,Body-worn Cameras,Axon
Santa Ana,CA,Body-worn Cameras,Axon
Santa Rosa,CA,Body-worn Cameras,Axon
Riverside,CA,Body-worn Cameras,VieVu
Bakersfield,CA,Body-worn Cameras,Axon
Petaluma,CA,Body-worn Cameras,Axon
Riverside,CA,Body-worn Cameras,Coban
San Luis Obispo,CA,Body-worn Cameras,Axon
Visalia,CA,Body-worn Cameras,Axon
Colorado Springs,CO,Body-worn Cameras,Utility
Denver,CO,Body-worn Cameras,Axon
Aurora,CO,Body-worn Cameras,VieVu
Durango,CO,Body-worn Cameras,Axon
Colorado Springs,CO,Body-worn Cameras,Axon
Hot Sulphur Springs,CO,Body-worn Cameras,Axon
Pueblo,CO,Body-worn Cameras,Axon
Wheat Ridge,CO,Body-worn Cameras,Axon
Stamford,CT,Body-worn Cameras,Axon
Middletown,CT,Body-worn Cameras,Panasonic
Newark,DE,Body-worn Cameras,Axon
Coral Springs,FL,Body-worn Cameras,Axon
Fort Lauderdale,FL,Body-worn Cameras,Axon
Tallahassee,FL,Body-worn Cameras,Axon
Jacksonville,FL,Body-worn Cameras,Axon
Atlanta,GA,Body-worn Cameras,Utility
Cumming,GA,Body-worn Cameras,Axon
Atlanta,GA,Body-worn Cameras,Utility
Covington,GA,Body-worn Cameras,Axon
Savannah,GA,Body-worn Cameras,Axon
Des Moines,IA,Body-worn Cameras,WatchGuard
Twin Falls,ID,Body-worn Cameras,Axon
Lansing,IL,Body-worn Cameras,Panasonic
Montgomery,IL,Body-worn Cameras,Watchguard
West Lafayette,IN,Body-worn Cameras,Utility
Carmel,IN,Body-worn Cameras,Axon
Fishers,IN,Body-worn Cameras,Axon
Wichita,KS,Body-worn Cameras,Axon
Bonner Springs,KS,Body-worn Cameras,Axon
Highland Heights,KY,Body-worn Cameras,Safety Vision
Vidalia,LA,Body-worn Cameras,Axon
Middleton,MA,Body-worn Cameras,Axon
Phoenix,AZ,Body-worn Cameras,Axon
Jefferson City,MO,Body-worn Cameras,Panasonic
Black Mountain,NC,Body-worn Cameras,VieVu
Davidson,NC,Body-worn Cameras,Axon
Rochester,NY,Body-worn Cameras,WatchGuard
Salamanca,NY,Body-worn Cameras,WatchGuard
Cincinnati,OH,Body-worn Cameras,Axon
Tulsa,OK,Body-worn Cameras,Axon
Eugene,OR,Body-worn Cameras,Axon
Doylestown,PA,Body-worn Cameras,WatchGuard
Pittsburgh,PA,Body-worn Cameras,Axon
Bethlehem,PA,Body-worn Cameras,Motorola Solutions
Allentown,PA,Body-worn Cameras,VieVu
Bethlehem,PA,Body-worn Cameras,Axon
Harrisburg,PA,Body-worn Cameras,WatchGuard
Providence,RI,Body-worn Cameras,Axon
Rapid City,SD,Body-worn Cameras,Axon
Rapid City,SD,Body-worn Cameras,Axon
Chattanooga,TN,Body-worn Cameras,Axon
New Braunfels,TX,Body-worn Cameras,WatchGuard
San Antonio,TX,Body-worn Cameras,Axon
San Antonio,TX,Body-worn Cameras,Axon
American Fork,UT,Body-worn Cameras,Axon
Lynchburg,VA,Body-worn Cameras,Axon
Virginia Beach,VA,Body-worn Cameras,Axon
Seattle,WA,Body-worn Cameras,Axon
Bisbee,AZ,Body-worn Cameras,Axon
Sierra Vista,AZ,Body-worn Cameras,Axon
Marana,AZ,Body-worn Cameras,Axon
Sahuarita,AZ,Body-worn Cameras,Axon
South Tucson,AZ,Body-worn Cameras,Axon
Yuma,AZ,Body-worn Cameras,Visual Labs Inc.
El Centro,CA,Body-worn Cameras,VieVu
San Marcos,CA,Body-worn Cameras,Axon
El Cajon,CA,Body-worn Cameras,Axon
Escondido,CA,Body-worn Cameras,Axon
San Diego,CA,Body-worn Cameras,Axon
San Diego,CA,Body-worn Cameras,Axon
San Diego,CA,Gunshot Detection,ShotSpotter
Las Cruces,NM,Body-worn Cameras,Axon
Brownsville,TX,Body-worn Cameras,Axon
Brownsville,TX,Automated License Plate Readers,Flock Safety
Laguna Vista,TX,Body-worn Cameras,Axon
El Paso,TX,Cell-site Simulator,Harris Corp.
El Paso,TX,Body-worn Cameras,Axon
El Paso,TX,Automated License Plate Readers,Skycop
El Paso,TX,Body-worn Cameras,WatchGuard
Alamo,TX,Body-worn Cameras,Axon
Edinburg,TX,Automated License Plate Readers,Skycop
Edinburg,TX,Body-worn Cameras,Coban
Edinburg,TX,Automated License Plate Readers,SkyCop
Hidalgo,TX,Automated License Plate Readers,Skycop
Pharr,TX,Automated License Plate Readers,Skycop
Weslaco,TX,Body-worn Cameras,WatchGuard
Sanderson,TX,Body-worn Cameras,Digital Ally
Laredo,TX,Automated License Plate Readers,Wireless CCTV
Coral Gables,FL,Video Analytics,BriefCam
Dearborn,MI,Video Analytics,BriefCam
Fort Myers,FL,Video Analytics,BriefCam
Lawrence,KS,Video Analytics,BriefCam
Miami Beach,FL,Video Analytics,BriefCam
Overland Park,KS,Video Analytics,BriefCam
Doral,FL,Video Analytics,BriefCam
Santa Fe,NM,Video Analytics,"Motorola Solutions, BriefCam"
Visalia,CA,Video Analytics,BriefCam
Springfield,MA,Video Analytics,BriefCam
Washington,DC,Video Analytics,BriefCam
Arlington,TX,Video Analytics,BriefCam
Beverly Hills,CA,Video Analytics,BriefCam
Miami Gardens,FL,Video Analytics,BriefCam
Inglewood,CA,Video Analytics,BriefCam
Glendale,AZ,Video Analytics,BriefCam
Oakland,CA,Automated License Plate Readers,Motorola Solutions
Alameda,CA,Automated License Plate Readers,Flock Safety
Alhambra,CA,Automated License Plate Readers,Flock Safety
Anaheim,CA,Automated License Plate Readers,"Vigilant Solutions, Flock Safety"
Antioch,CA,Automated License Plate Readers,Motorola Solutions
Arcadia,CA,Automated License Plate Readers,Flock Safety
Atherton,CA,Automated License Plate Readers,Flock Safety
Azusa,CA,Automated License Plate Readers,Flock Safety
Beaumont,CA,Automated License Plate Readers,Motorola Solutions
Belvedere,CA,Automated License Plate Readers,Motorola Solutions
Benicia,CA,Automated License Plate Readers,Flock Safety
Berkeley,CA,Automated License Plate Readers,Flock Safety
Brea,CA,Automated License Plate Readers,Motorola Solutions
Brisbane,CA,Automated License Plate Readers,Flock Safety
Burbank,CA,Automated License Plate Readers,Motorola Solutions
Burlingame,CA,Automated License Plate Readers,Flock Safety
Campbell,CA,Automated License Plate Readers,Flock Safety
Capitola,CA,Automated License Plate Readers,Flock Safety
Carmel,CA,Automated License Plate Readers,Flock Safety
Cathedral City,CA,Automated License Plate Readers,Flock Safety
Larkspur,CA,Automated License Plate Readers,Flock Safety
Chino,CA,Automated License Plate Readers,Motorola Solutions
Chula Vista,CA,Automated License Plate Readers,"Flock Safety, Motorola Solutions"
Clearlake,CA,Automated License Plate Readers,Flock Safety
Clovis,CA,Automated License Plate Readers,Motorola Solutions
Colton,CA,Automated License Plate Readers,Motorola Solutions
Concord,CA,Automated License Plate Readers,Flock Safety
Corning,CA,Automated License Plate Readers,"Flock Safety, Motorola Solutions"
Corona,CA,Automated License Plate Readers,Flock Safety
Coronado,CA,Automated License Plate Readers,Flock Safety
Costa Mesa,CA,Automated License Plate Readers,Flock Safety
Covina,CA,Automated License Plate Readers,Flock Safety
Daly City,CA,Automated License Plate Readers,Flock Safety
Desert Hot Springs,CA,Automated License Plate Readers,Flock Safety
Dixon,CA,Automated License Plate Readers,Flock Safety
Downey,CA,Automated License Plate Readers,Motorola Solutions
El Cajon,CA,Automated License Plate Readers,Flock Safety
El Centro,CA,Automated License Plate Readers,"Flock Safety, Vigilant Solutions"
El Cerrito,CA,Automated License Plate Readers,Flock Safety
Placerville,CA,Automated License Plate Readers,Motorola Solutions
Elk Grove,CA,Automated License Plate Readers,Flock Safety
Emeryville,CA,Automated License Plate Readers,Motorola Solutions
Escondido,CA,Automated License Plate Readers,Motorola Solutions
Fairfield,CA,Automated License Plate Readers,Flock Safety
Fontana,CA,Automated License Plate Readers,Motorola Solutions
Fountain Valley,CA,Automated License Plate Readers,Motorola Solutions
Gilroy,CA,Automated License Plate Readers,Flock Safety
Glendale,CA,Automated License Plate Readers,Motorola Solutions
Glendora,CA,Automated License Plate Readers,Flock Safety
Grover Beach,CA,Automated License Plate Readers,Flock Safety
Hayward,CA,Automated License Plate Readers,"Flock Safety, Motorola Solutions"
Hercules,CA,Automated License Plate Readers,Flock Safety
Hillsborough,CA,Automated License Plate Readers,Flock Safety
Hollister,CA,Automated License Plate Readers,Motorola Solutions
Huntington Beach,CA,Automated License Plate Readers,"Flock Safety, Motorola Solutions"
El Centro,CA,Automated License Plate Readers,Motorola Solutions
Imperial,CA,Automated License Plate Readers,Motorola Solutions
Bakersfield,CA,Automated License Plate Readers,Flock Safety
La Mesa,CA,Automated License Plate Readers,"Flock Safety, Vigilant Solutions"
Lakeport,CA,Automated License Plate Readers,Flock Safety
Lincoln,CA,Automated License Plate Readers,Flock Safety
Livermore,CA,Automated License Plate Readers,Motorola Solutions
Long Beach,CA,Automated License Plate Readers,Motorola Solutions
Los Alamitos,CA,Automated License Plate Readers,"Flock Safety, Vigilant Solutions"
Los Altos,CA,Automated License Plate Readers,Flock Safety
Valencia,CA,Automated License Plate Readers,"Vigilant Solutions, Neology/PIPS"
Los Gatos,CA,Automated License Plate Readers,Flock Safety
Madera,CA,Automated License Plate Readers,Motorola Solutions
Madera,CA,Automated License Plate Readers,Motorola Solutions
Manhattan Beach,CA,Automated License Plate Readers,Motorola Solutions
Manteca,CA,Automated License Plate Readers,Motorola Solutions
San Rafael,CA,Automated License Plate Readers,"Flock Safety, Motorola Solutions"
Merced,CA,Automated License Plate Readers,Motorola Solutions
Milpitas,CA,Automated License Plate Readers,Flock Safety
Monrovia,CA,Automated License Plate Readers,Flock Safety
Monterey Park,CA,Automated License Plate Readers,Flock Safety
Morgan Hill,CA,Automated License Plate Readers,Flock Safety
Mountain View,CA,Automated License Plate Readers,Flock Safety
Murrieta,CA,Automated License Plate Readers,Flock Safety
Napa,CA,Automated License Plate Readers,Flock Safety
Newark,CA,Automated License Plate Readers,Flock Safety
Novato,CA,Automated License Plate Readers,Flock Safety
Oakland,CA,Automated License Plate Readers,Flock Safety
Oakley,CA,Automated License Plate Readers,Flock Safety
Ontario,CA,Automated License Plate Readers,Flock Safety
Oxnard,CA,Automated License Plate Readers,Motorola Solutions
Palo Alto,CA,Automated License Plate Readers,Flock Safety
Palos Verdes Estates,CA,Automated License Plate Readers,Motorola Solutions
Paso Robles,CA,Automated License Plate Readers,Motorola Solutions
Petaluma,CA,Automated License Plate Readers,"Motorola Solutions, Flock Safety"
Piedmont,CA,Automated License Plate Readers,Flock Safety
Pinole,CA,Automated License Plate Readers,"Motorola Solutions, Flock Safety"
Pittsburg,CA,Automated License Plate Readers,Motorola Solutions
Placentia,CA,Automated License Plate Readers,Motorola Solutions
Tahoe City,CA,Automated License Plate Readers,Flock Safety
Pleasanton,CA,Automated License Plate Readers,"Flock Safety, Motorola Solutions"
Port Hueneme,CA,Automated License Plate Readers,Flock Safety
Redwood City,CA,Automated License Plate Readers,Flock Safety
Rio Vista,CA,Automated License Plate Readers,Flock Safety
Ripon,CA,Automated License Plate Readers,Motorola Solutions
Riverside,CA,Automated License Plate Readers,"Flock Safety, Motorola Solutions"
Riverside,CA,Automated License Plate Readers,Flock Safety
Rocklin,CA,Automated License Plate Readers,Rekor
Rohnert Park,CA,Automated License Plate Readers,Flock Safety
Roseville,CA,Automated License Plate Readers,Flock Safety
Salinas,CA,Automated License Plate Readers,Motorola Solutions
San Bernardino,CA,Automated License Plate Readers,Motorola Solutions
San Fernando,CA,Automated License Plate Readers,Flock Safety
San Francisco,CA,Automated License Plate Readers,Flock Safety
French Camp,CA,Automated License Plate Readers,Flock Safety
San Jose,CA,Automated License Plate Readers,Flock Safety
San Leandro,CA,Automated License Plate Readers,Flock Safety
Oceano,CA,Automated License Plate Readers,Motorola Solutions
Redwood City,CA,Automated License Plate Readers,Flock Safety
San Mateo,CA,Automated License Plate Readers,Flock Safety
San Pablo,CA,Automated License Plate Readers,Motorola Solutions
San Rafael,CA,Automated License Plate Readers,Flock Safety
San Ramon,CA,Automated License Plate Readers,"Flock Safety, Motorola Solutions"
Santa Barbara,CA,Automated License Plate Readers,Flock Safety
San Jose,CA,Automated License Plate Readers,Flock Safety
Santa Clara,CA,Automated License Plate Readers,Flock Safety
Santa Monica,CA,Automated License Plate Readers,Flock Safety
Redding,CA,Automated License Plate Readers,Motorola Solutions
Santa Rosa,CA,Automated License Plate Readers,Motorola Solutions
South San Francisco,CA,Automated License Plate Readers,Flock Safety
Modesto,CA,Automated License Plate Readers,Motorola Solutions
Sunnyvale,CA,Automated License Plate Readers,Neology/PIPS
Union City,CA,Automated License Plate Readers,Flock Safety
Upland,CA,Automated License Plate Readers,Flock Safety
Vacaville,CA,Automated License Plate Readers,Flock Safety
Vallejo,CA,Automated License Plate Readers,Flock Safety
Vernon,CA,Automated License Plate Readers,Flock Safety
Walnut Creek,CA,Automated License Plate Readers,Motorola Solutions
West Covina,CA,Automated License Plate Readers,Flock Safety
West Sacramento,CA,Automated License Plate Readers,Motorola Solutions
Westminster,CA,Automated License Plate Readers,Flock Safety
Westmorland,CA,Automated License Plate Readers,Vigilant Solutions
Woodland,CA,Automated License Plate Readers,Vigilant Solutions
Redwood,CA,Face Recognition,Clearview AI
New Caney,TX,Face Recognition,Clearview AI
DeLand,FL,Face Recognition,Clearview AI
Gainesville,FL,Face Recognition,Clearview AI
Antioch,CA,Face Recognition,Clearview AI
Green Bay,WI,Face Recognition,Clearview AI
Davie,FL,Face Recognition,Clearview AI
Miami,FL,Face Recognition,Clearview AI
Atlanta,GA,Face Recognition,Clearview AI
Wyomissing,PA,Face Recognition,Clearview AI
Chicago,IL,Face Recognition,DataWorks Plus
Senoia,GA,Face Recognition,Clearview AI
Indianapolis,IN,Face Recognition,Clearview AI
Albany,NY,Face Recognition,Clearview AI
Austin,TX,Face Recognition,Clearview AI
San Jose,CA,Camera Registry,Motorola Solutions
Chamblee,GA,Camera Registry,Motorola Solutions
Maryland Heights,MO,Camera Registry,Motorola Solutions
Pocomoke City,MD,Camera Registry,Motorola Solutions
Lawrence,IN,Camera Registry,Motorola Solutions
Moorestown,NJ,Camera Registry,Motorola Solutions
Waukegan,IL,Camera Registry,Motorola Solutions
Eutaw,AL,Camera Registry,Motorola Solutions
Aumsville,OR,Camera Registry,Motorola Solutions
Carlton,OR,Camera Registry,Motorola Solutions
Carmel,IN,Camera Registry,Motorola Solutions
Carrollton,GA,Camera Registry,Motorola Solutions
Cedar City,UT,Camera Registry,Motorola Solutions
Yerington,NV,Body-worn Cameras,Motorola Solutions
Farmersville,CA,Body-worn Cameras,Axon
Kenton,OH,Body-worn Cameras,Wolfcom
Indian River Shores,FL,Automated License Plate Readers,L3 Mobile-Vision
Hollywood,FL,Automated License Plate Readers,Vigilant Solutions
Sebastian,FL,Automated License Plate Readers,PlateSmart Technologies
Ormond Beach,FL,Automated License Plate Readers,NDI Technologies
Palmetto Bay,FL,Automated License Plate Readers,ACTI Communications
Panama City,FL,Automated License Plate Readers,Flock Safety
Chowchilla,CA,Body-worn Cameras,WatchGuard
La Habra,CA,Body-worn Cameras,Axon
Tulsa,OK,Automated License Plate Readers,Flock Safety
Pembroke Pines,FL,Automated License Plate Readers,Vigilant Solutions
Mobile,AL,Gunshot Detection,ShotSpotter
Los Angeles,CA,Face Recognition,LACRIS
Santa Ana,CA,Face Recognition,LACRIS
Los Angeles,CA,Face Recognition,LACRIS
Arcadia,CA,Face Recognition,LACRIS
Burbank,CA,Face Recognition,LACRIS
Pomona,CA,Face Recognition,LACRIS
Claremont,CA,Face Recognition,LACRIS
Culver City,CA,Face Recognition,LACRIS
Downey,CA,Face Recognition,LACRIS
Gardena,CA,Face Recognition,LACRIS
Glendale,CA,Face Recognition,LACRIS
Glendora,CA,Face Recognition,LACRIS
Hawthorne,CA,Face Recognition,LACRIS
Huntington Beach,CA,Face Recognition,LACRIS
Huntington Park,CA,Face Recognition,LACRIS
Inglewood,CA,Face Recognition,Clearview AI
Irwindale,CA,Face Recognition,LACRIS
La Verne,CA,Face Recognition,LACRIS
Los Angeles,CA,Face Recognition,LACRIS
Los Angeles,CA,Face Recognition,LACRIS
Long Beach,CA,Face Recognition,LACRIS
Monrovia,CA,Face Recognition,LACRIS
Monterey Park,CA,Face Recognition,LACRIS
Pasadena,CA,Face Recognition,LACRIS
Pomona,CA,Face Recognition,LACRIS
Redondo Beach,CA,Face Recognition,LACRIS
Santa Ana,CA,Face Recognition,LACRIS
Santa Monica,CA,Face Recognition,LACRIS
